Nome,IP
RAFAORCAMENTO,192.168.0.45
COPA02,192.168.0.165
ARQUIVO-01,192.168.0.178
CME-04,192.168.0.88
BLOCO-03,192.168.0.185
FINANCEIRO-02,192.168.0.220
CME-02,192.168.0.124
FINANCEIRO-05,192.168.0.13
AUDITORIA-04,192.168.0.43
AMANDAFARM,192.168.1.154
SECDRFELICIO,192.168.0.53
NUTRICAO-01,192.168.0.59
SEC-EDWARD,192.168.0.61
ALMOXARIFADO,192.168.0.73
THAISORCAMENTO,192.168.0.76
FATURAMENTO06,192.168.0.81
ENFER-RESSO,192.168.0.50
ENFERMAGEM06,192.168.0.14
ENFERMAGEM08,192.168.0.36
ENFERMAGEM-08,192.168.0.30
PC-RESSO02,192.168.1.26
SEC-ENFER,192.168.0.181
SECFELCIO,192.168.1.159
PLANTAO-MEDICO,192.168.0.105
BLOCO-FARMACIA,192.168.0.197
CONSUL-DRCARLOS,192.168.0.157
DESKTOP-8IT4LO4,192.168.0.111
DESKTOP-91H4LTA,192.168.0.151
NOTDRCARLOS,192.168.0.132
DESKTOP-RRLF7RQ,192.168.0.127
DRA-MARCELA,192.168.0.19
DREDWARD,192.168.0.145
DRPAULOB,192.168.0.122
ECOCENTER01,192.168.0.12
FARMAC-UTI,192.168.0.184
MICROSCOPIA,192.168.0.69
P-AGENDAMENTO,192.168.0.128
P-RECEPCAO,192.168.0.255
SRVBANCO,192.168.0.23
SRVBHSOFT,192.168.0.5
SRVMEDWARE,192.168.0.3
SRVPONTO,192.168.0.131
SRVRMPONTO,192.168.0.83
SRVSPDATASGH,192.168.0.2
SEC-ADMIN,192.168.0.159
PRECISAO-PC5,192.168.0.89
ETIENEADM,192.168.0.156
RECEPCAO-PC,192.168.0.22
AUDITORIA-PC,192.168.0.233
SRVTS,192.168.0.201
COMPRAS02,192.168.0.118
ORTOPEDIA-PC,192.168.0.186
SECCARLOSH02,192.168.0.149
SECGILBERTO,192.168.0.55
SECLHENRIQUE,192.168.0.138
UTI-01,192.168.0.108
ADM-PRECISAO,192.168.0.187
BLOCO-SALA04,192.168.0.172
FATURAMENTOPCX,192.168.0.195
NOT-DRDANIEL,192.168.0.161
PC-ARQUIVO,192.168.0.87
PC-RECEPO1,192.168.0.204
PCRESERVA,192.168.0.64
S-AGENDAMENTO,192.168.0.174
SEC-DRJULIO,192.168.0.232
SEC-VALERIA,192.168.0.153
SEC-ZEZE,192.168.0.143
AMBULATORIO-02,192.168.0.109
BLOCO-01,192.168.0.31
BLOCO-05,192.168.0.194
PC-FATU01,192.168.0.15
RHVANUSA,192.168.0.34
EMFERMAGEM04,192.168.0.123
RETINA-PTC,192.168.0.179
COMPRAS02,192.168.0.118
TOMOGRAFIA,192.168.0.99
MADUAGENDAMENTO,192.168.0.90
MARIAEDUARDA,192.168.0.68
NAGELAFATU,192.168.0.18
JULIANAFAT,192.168.0.94
CS7-12345,192.168.20.90/192.168.4.212
DESKTOP-8705DTL,192.168.1.113
DESKTOP-B9S84DC,192.168.1.233
DESKTOP-HU8ESHG,192.168.2.42
DRTATIANA,192.168.1.215
DRA-FERNANDA,192.168.1.17
DRJULIOCONSUL,192.168.1.241
DRWALTERJR,192.168.1.102
ECOCENTER02,192.168.1.13
P-PRECISAO,192.168.1.36
SECTHIAGO,192.168.1.190
S-PRECISAO,192.168.1.32
PRECISAO-04,192.168.1.27
PRECISAO-PC02,192.168.1.111
PRECISAO-PC03,192.168.1.114
PRECISAO-PC04,192.168.1.120
DESKTOP-LVMLTMS,192.168.1.126
FINANCEIRO-03,192.168.1.41
QUALIDADE01,192.168.1.39
QUALIDADE-02,192.168.1.221
QUALIDADE-ARQ,192.168.1.121
RADIOGRAFIA,192.168.1.153
DESKTOP-IMAOEAI,192.168.1.237
SECFELCIO,192.168.1.183
SECRAFAE,192.168.1.185
TI01,192.168.1.131
WIN-TEST,192.168.1.69
UTI-07,192.168.1.35
RECEPGUICHE3,192.168.1.143
MINI-RECEP01,192.168.1.240
RECEPGUICHE1,192.168.1.158
MINI-RECEP03,192.168.1.248
ONECONNECT-01,192.168.1.78
PCDR-PEDRO,192.168.1.220
PC-RESERVA,192.168.2.45
PC-RESSO02,192.168.1.30
PRECISAOEXAMES,192.168.1.152
SEC-DRA-MARCELA,192.168.1.115
S-RECEPCAO,192.168.1.253
SUP-ENFER,192.168.1.242
BLOCO-02,192.168.1.247
BLOCO-07,192.168.2.53
BLOCO-RPA,192.168.1.20
DESKTOP-LVMLTMS,192.168.1.226
PRECISAO-06,
SECRETARIA,192.168.1.246
PRECISAO-PC01,192.168.1.79
NAYARA-ARQ,192.168.2.51
FATURAMENTO10,192.168.1.43
EEG,192.168.1.33
ADM-G01,192.168.1.175
DESKTOP-HN3G30U,192.168.1.231
TOPOGRAFO-PC,192.168.1.249
CME,192.168.1.160
LAVINIA-LEITO,192.168.1.177
CAROLTESOURARIA,192.168.1.205
MARISA-ADM,192.168.1.117
ECG,192.168.1.170
EEG,192.168.1.134
LISANDRAOPME,192.168.1.131
EDERRECEPCAO,192.168.2.36
SABRINARESSO,192.168.1.156
SECRESSOMC,192.168.2.49
MARILUCEAGENDAM,192.168.1.116
MINI-RECEP03,192.168.1.248
PEQUENACIRURGIA,192.168.1.141
